Sample,1mem_Bt_12pt5hr-1,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-1,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-1,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-1,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-1,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-1,1mem_Bt_45hr-2,1mem_Bt_45hr-3
Time,12.5,12.5,12.5,12.5,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,45,45,45
L-Dihydroorotic acid,0.780219724,0.623088483,0.946478537,0.770249016,0.894464535,0.961905251,1.076173544,0.643796289,0.638295308,1.089622996,1.068835123,0.690654847,1.013126676,0.796044764,1.071676344,0.78398568,0.610798735,1.536623021,1.133617036,0.934890092,0.830493083,0.814298912,2.422947693
2-HYDROXYPYRIDINE,2.742013975,2.084691249,1.697758144,1.612820356,2.236291925,2.28820356,1.858656887,2.539581714,2.006724203,2.323125447,1.84997905,2.567757162,2.025402493,2.583871679,2.465381396,2.565295683,2.105251796,2.479249326,2.708895121,3.377044468,1.67766451,2.616658503,2.784947087
2-OXOADIPATE,3.098438589,2.915751687,2.861315287,2.482719642,2.376435334,2.668452991,3.747218974,2.203493169,3.493034263,3.584686097,4.258858405,1.802458882,2.284051398,2.38400499,2.277375455,3.285293561,1.770071643,4.214786077,3.683554712,1.911897934,1.980663247,4.480351923,3.444003456
2-Oxovaleric acid,12.68053715,6.40510054,13.46326484,14.96919152,10.39995801,7.198329221,14.94717549,12.51865509,9.520013114,6.833017002,14.55073602,13.10672602,8.799037109,12.32215258,15.5072452,10.7573436,9.107359421,14.68588882,14.69767459,13.28955706,11.02261401,13.56348917,15.18154902
Lumazine,2.357507955,2.807216719,1.832366237,2.433239396,2.795902098,3.562103699,2.979483879,2.348929547,2.862989387,3.175463373,2.961106505,2.473400371,2.749264376,2.916076531,3.952487324,2.736525512,2.700085085,3.918580076,4.378232291,3.351110213,2.64970274,3.560759221,4.508761364
2'-DEOXYGUANOSINE,0.490276663,0.460840903,0.767104668,0.458029462,0.343781429,0.401127684,0.643238221,0.489169642,0.351204199,0.361613611,0.664177251,0.811661794,0.382999561,0.383909055,1.002472547,0.4120173,0.466897942,0.377805358,1.115861694,0.969287632,0.487676529,1.192341507,0.932100515
Hydroxyphenyllactic acid,0.975600405,0.539623922,0.647803916,0.872726928,0.677204492,0.554745621,0.5828413,0.573479763,0.635236387,0.635100252,0.556158203,2.324835009,1.021013983,0.589362609,0.739065858,0.933533461,0.521981258,0.550546894,0.639811064,0.995215104,0.85426895,0.610879369,0.76945365
3-AMINOISOBUTANOATE,5.518776527,4.034946821,3.632970426,3.718668926,5.132970612,5.437259265,4.693228816,5.055356361,5.213474201,4.817280951,4.79369301,4.962173958,5.167779582,4.516484471,5.25191453,5.705216613,4.791733056,5.486877048,6.034948337,5.751471432,4.727993172,4.695919889,5.20221836
3-dehydroshikimate,3.337261079,4.211829338,4.34246419,3.939041261,4.425864407,6.010944635,4.501392212,2.680129914,2.791574049,5.28034267,4.250010167,5.400908723,5.339439414,5.593417674,5.195529336,2.843963105,3.609024196,6.695141109,4.571731812,5.139507717,1.702547027,6.97759656,4.368406251
3-HYDROXYANTHRANILATE,1.636082763,1.673302068,1.241707258,1.543133112,1.755495728,1.991278576,2.280373712,1.633578965,1.236901205,1.489297261,1.825461104,2.003167757,1.763967439,2.022318095,1.556221559,1.749175207,1.70072468,2.302759995,2.152431546,2.111065738,1.50540733,1.559223142,1.717629179
3-METHOXY-4-HYDROXYMANDELATE,1.24445039,2.621941094,1.966915576,1.191651903,2.063808065,3.549063709,2.885328154,1.201707289,2.153104788,3.372140405,3.075532737,1.753609592,1.783787287,3.188399548,3.436724877,2.050417957,2.245762122,3.467120395,3.344218609,2.43000953,2.283647642,3.2747972,3.631207317
3-METHYLADENINE,7.169757556,7.394913099,5.664398331,5.693607706,7.205613939,8.881771242,7.21527157,8.976229072,7.55302405,9.024772714,6.965221981,8.926782356,6.744880472,10.07449061,9.448978926,8.589664885,8.444713218,11.11753259,10.57179543,11.94267272,6.965662537,11.63425359,10.58497621
"3,4-DIHYDROXYBENZOATE",2.031629474,3.770086797,1.398627594,2.736354455,2.709858358,3.859241746,1.940457491,1.680760938,1.298894693,1.755648926,4.141952637,3.172385148,1.580737538,1.46279304,1.452799089,1.943834852,1.570748593,3.817142334,1.797529039,1.942804588,1.446804674,1.688735679,4.7668492
"3,4-Dihydroxyphenylglycol",3.982966325,5.425819303,3.135520815,3.056290707,1.920120565,5.344047662,4.896740796,3.042538185,1.635712308,5.339912135,3.519507686,1.704221962,2.340644916,4.740467914,4.350826383,2.18240071,2.593661789,5.159615332,6.733725543,4.959334698,1.865616081,3.866501643,4.444882561
Cyclic AMP,0.50366271,0.03835464,0.342005149,0.031455354,0.041915118,0.035496431,0.352945185,0.301262043,0.290261828,0.037620124,0.301858534,0.384126766,0.288084466,0.343595505,0.035867922,0.342634557,0.03810289,0.03570571,0.03600508,0.364370826,0.674098039,0.043233237,0.036922344
4-ACETAMIDOBUTANOATE,1.448608076,1.368206083,1.744795356,1.431973282,1.432621162,1.173723797,1.390084275,1.979702381,1.627438322,1.781430754,1.335894175,1.873128878,1.467290731,1.355632258,2.072484403,1.733441865,1.554357392,1.263413612,2.790914386,1.814629357,1.317522649,1.230458096,3.079165705
4-GUANIDINOBUTANOATE,5.178688991,5.454438423,3.696987686,3.618237873,4.301552193,6.336289908,4.229761375,4.409285073,4.431414924,6.25876932,3.805808009,4.537626459,4.369108836,6.208983467,5.119718902,4.481625105,4.694131099,5.943076492,5.664270274,5.108950771,4.348074866,5.922992178,5.450646524
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,2.377258063,1.279253194,3.887046683,2.253704383,1.334077097,1.568017419,3.30923308,2.303706784,1.729875155,1.699299443,1.643142089,2.41098224,1.605976394,2.590530203,1.619667114,2.316520089,1.943344556,2.149809185,3.650332213,2.697635137,1.281730986,3.111879354,2.679342092
4-HYDROXYBENZOATE,9.817783835,9.963206109,9.824718721,10.49596264,8.962061837,13.94080189,13.55117656,10.9958136,9.182133337,13.19999858,14.0447314,11.94334983,9.097248807,14.15611437,16.18133043,11.51026599,10.44754728,15.7122686,16.532556,13.6242162,9.644078576,15.47738502,17.18333047
4-IMIDAZOLEACETIC ACID,2.323464268,2.853279848,1.822743409,2.082711152,2.071175537,3.277954903,2.532178329,2.264547658,2.506050897,3.139067178,2.404950838,2.728329327,2.228827784,3.033477631,3.269690039,2.678920669,2.866674454,3.80774737,3.733429911,3.501539274,2.551238608,3.050679379,3.695633589
4-PYRIDOXATE,8.935839213,8.491812471,6.681370286,6.365595268,9.534904095,8.774490022,7.707762808,10.07638219,9.827333936,1.706670887,7.460144064,10.16025211,2.083870648,10.17278928,9.712395486,10.23379942,12.5526692,9.828479337,9.353286879,13.12405716,9.180944357,10.91596012,10.03926354
5-Aminopentanoate,0.781834595,0.656661241,0.832933792,0.888030437,0.731563975,0.771698956,0.699349063,0.818239684,0.661425393,0.79410822,0.799991678,0.643383279,0.830196563,0.699962769,0.788020286,0.709414213,0.98781775,1.677902402,0.862838237,0.686054252,0.629932858,1.146736786,0.895234615
5-OXO-L-PROLINE,0.400518229,2.354676632,1.945314587,2.198918637,1.790665896,2.02254475,1.752309923,1.991420236,1.589644674,1.921216392,1.796826308,1.002578207,1.517814644,1.895834905,2.668722591,2.050836988,1.936908423,2.855415196,2.585977205,2.667364731,1.765890806,2.637657424,2.965737701
"5,6-DIHYDROURACIL",1.862504873,1.411018032,1.012390922,0.975281894,1.55552422,1.507716069,1.262023564,1.691204844,1.530960559,1.485503754,1.23134413,1.637174225,1.599362659,1.530913339,1.763443569,1.800689651,1.693830228,2.094659193,2.069137616,2.004463035,1.591752933,1.985741576,1.700827179
5'-METHYLTHIOADENOSINE,9.492431629,5.943955727,7.115782721,6.209278982,7.785695526,6.518454594,7.250545432,9.463963765,7.76945492,6.592815102,1.481039479,2.265092318,1.86122683,9.775239816,9.689671037,9.434442009,9.112392082,9.749191423,10.21243591,11.62573515,7.524844387,11.24377997,10.67757721
6-CARBOXYHEXANOATE,6.716774712,6.286055592,6.256785718,5.480700882,4.60927035,6.219851951,6.193774474,5.364673159,4.732354093,6.2725284,6.513477847,5.347175613,5.426061066,6.871630038,6.415043498,5.85975575,5.053798437,6.585052284,6.525531175,5.6234804,4.608187259,6.552272838,6.703705186
ADENINE,11.02587063,11.67358345,8.799377939,8.557293614,11.263149,14.38999859,10.77956215,13.49487926,11.74840874,15.32700146,10.92694674,14.2854546,10.39023545,17.10285001,14.37684657,13.05776387,14.26926437,18.47823082,15.23854588,16.69690461,11.67883216,17.68039576,15.65339066
ADENOSINE,1.857625564,2.306818535,1.156616374,1.149244126,1.722346106,2.176477097,1.73558036,1.625473894,2.014440332,2.588392809,1.642911538,2.778215456,1.99415581,2.976321308,1.868608137,2.887451062,1.911028368,3.052906319,2.543582344,2.428281621,1.330203376,3.065013347,2.885664022
ADENOSINE 5'-MONOPHOSPHATE,0.344666021,0.03835464,0.034380296,0.314401208,0.235013449,0.035496431,0.276675997,0.042229728,0.296913466,0.037620124,0.236825406,0.039866082,0.278407984,0.040224914,0.035867922,0.048566864,0.03810289,0.217259047,0.299107379,0.043085744,0.340534732,0.25802075,0.036922344
ADIPIC ACID,8.976359009,7.034345928,6.673544854,7.259730741,7.244837939,6.885392268,7.760728592,6.821745838,6.855449054,7.159415884,7.372633776,6.697774609,7.894574542,7.130887582,6.745309954,7.512653965,6.347560844,6.666937386,6.457162375,6.801672061,6.416730331,6.64325689,6.901120591
ALLANTOIN,1.377163535,1.709745617,2.083056513,2.829203974,1.151784344,3.005628276,2.575801358,1.872831933,1.957871653,2.150293342,2.269890261,1.898735016,2.746644538,1.974256547,3.436497742,2.109551821,1.721790536,2.823082806,3.523069326,1.941690615,1.335861842,2.494564821,3.570013844
ALPHA-AMINOADIPATE,6.507580069,5.447518803,5.722334757,5.548265007,6.955480792,4.585742526,5.310279389,8.066815654,4.939363907,4.519719289,4.521804311,5.307691478,4.302989247,5.046788328,5.231236346,5.152991294,6.155389134,4.317900672,7.655008278,8.423981877,2.20315803,5.463040786,4.028692135
ALPHA-KETOGLUTARIC ACID,0.389577461,0.286453316,0.580706282,0.301366964,0.402445635,0.035496431,0.748584681,1.093676842,0.440356547,0.377677068,0.412421231,0.70228313,1.197670676,0.463956877,0.31278176,0.048566864,0.309506677,0.882859215,0.31589634,0.359623288,0.804135511,1.208905894,0.319373217
AZELAIC ACID,9.85623342,7.510060182,7.40970305,8.076741848,7.081364926,7.91301548,8.484791005,6.859077537,5.932105344,8.599619172,7.990777968,5.568326608,7.189051759,9.73815163,7.334288454,7.595197522,5.173123717,7.302310474,6.845275296,6.554482157,5.13088866,7.59320043,7.456125559
BENZOATE,24.79336747,18.20249991,14.31693878,19.92115566,17.77181186,23.01128786,13.60353306,19.26334739,16.30690843,19.70501283,13.01927039,18.05643565,16.05694957,18.5365829,16.30708834,17.24886787,14.56346073,19.03324173,17.06626162,17.06186634,13.85111268,14.69877537,15.63969278
BUTANAL,16.29242202,10.98475883,21.23925405,19.02406785,15.00997771,12.55070199,19.43772992,12.84358159,15.33795074,13.81189149,18.04405295,14.4846789,13.72887879,13.23313173,20.40608461,12.46789329,13.90580746,12.38436885,21.91227176,14.99375905,14.33929779,11.57772037,20.84193414
CHOLINE,3.712408775,3.460770355,3.179260759,2.968795603,3.186680651,2.801361268,2.763053013,3.487654627,3.153742018,3.984264453,2.809267103,3.661078167,3.713806688,3.695896346,3.520935848,4.803872404,3.027006577,2.733079545,2.804069552,4.085554158,2.886267297,2.913695583,3.00993518
Choline O-Sulfate,0.467941079,0.538507259,0.491317147,0.308431832,0.432449137,0.793509067,0.281393556,0.679567017,0.451525793,0.363627931,0.271880369,0.348972763,0.792183642,0.891905284,0.452556394,0.82497577,0.652840913,0.276487033,0.317150533,0.504715099,0.464223115,0.394486373,0.522315721
CITRULLINE,1.943837698,2.744908907,2.20017817,2.277650266,5.626030706,4.257729576,3.850233006,2.991717287,4.258725237,3.105842135,4.003683422,2.976866443,3.734120358,2.859936746,4.532336959,3.498614626,3.296253302,3.433299025,5.967869519,4.04601914,3.600602854,3.774680995,4.970766576
CREATINE,1.836656746,2.02891519,1.577967183,1.597436576,1.96155262,2.00584175,1.685413277,1.447013846,1.619396948,2.010236862,1.563468449,1.493826555,1.565868564,1.997646534,1.701745061,1.582832217,1.535619246,1.947082162,1.7532244,1.515633796,1.405710407,1.852470225,1.752027218
CREATININE,2.217104939,1.770167588,1.700177514,1.855859263,2.674306637,1.581046459,1.800217147,2.073246101,1.143345371,1.597080244,1.55679154,1.89638581,1.1281506,1.740634127,1.626845333,0.988694332,2.454954785,1.356998148,1.524658922,2.398724857,2.024195403,1.444741126,1.383474585
CYTIDINE,0.664610249,0.073287164,0.08072786,0.078749917,0.707993465,0.560422092,0.569154579,0.545028212,0.591771255,0.622916571,0.079320251,0.066793272,0.595592969,0.537120077,0.643312221,0.560333135,0.676029718,0.070985919,0.630044118,0.652960405,0.46097124,0.592556791,0.077469537
CYTOSINE,2.786418841,2.815101257,2.518309762,2.37638129,2.439956342,3.421322141,3.103457834,3.303175517,2.559900249,3.282220035,2.806826717,3.750153534,2.517058453,3.280612006,3.872600674,3.670687586,2.938149081,3.500555602,3.925403958,4.121543691,2.929240453,3.965411735,3.89658439
